study,model,sub,npar,loglik,lme,bic,n_obs
study1,MBMC,sub-011.csv,9,-23.619507250076005,-23.619507250076005,93.9756261581639,180
study1,MBMC,sub-030.csv,9,-0.43575637464447103,-0.43575637464447103,47.608124407300835,180
study1,MBMC,sub-068.csv,9,-65.73640239913479,-65.73640239913479,178.20941645628147,180
study1,MBMC,sub-019.csv,9,-52.63195099339281,-52.63195099339281,152.00051364479754,180
study1,MBMC,sub-050.csv,9,-22.44181877946251,-22.44181877946251,91.62024921693691,180
study1,MBMC,sub-067.csv,9,-4.657248844761699,-4.657248844761699,56.051109347535295,180
study1,MBMC,sub-017.csv,9,-11.6163127906136,-11.6163127906136,69.96923723923909,180
study1,MBMC,sub-047.csv,9,-40.45283429219285,-40.45283429219285,127.64228024239759,180
study1,MBMC,sub-031.csv,9,-37.50591020563979,-37.50591020563979,121.74843206929148,180
study1,MBMC,sub-021.csv,9,-5.953785601437751,-5.953785601437751,58.6441828608874,180
study1,MBMC,sub-070.csv,9,-2.525209625308448,-2.525209625308448,51.78703090862879,180
study1,MBMC,sub-046.csv,9,-9.899494492466903,-9.899494492466903,66.5356006429457,180
study1,MBMC,sub-056.csv,9,-81.70952256596065,-81.70952256596065,210.1556567899332,180
study1,MBMC,sub-083.csv,9,-0.2577351478845211,-0.2577351478845211,47.25208195378094,180
study1,MBMC,sub-027.csv,9,-10.911530733629258,-10.911530733629258,68.55967312527041,180
study1,MBMC,sub-051.csv,9,-56.94340368963157,-56.94340368963157,160.62341903727503,180
study1,MBMC,sub-060.csv,9,-32.06075592137443,-32.06075592137443,110.85812350076075,180
study1,MBMC,sub-043.csv,9,-8.47763121545723,-8.47763121545723,63.691874088926355,180
study1,MBMC,sub-032.csv,9,-47.956243933357385,-47.956243933357385,142.64909952472667,180
study1,MBMC,sub-053.csv,9,-17.866719617505943,-17.866719617505943,82.47005089302378,180
study1,MBMC,sub-087.csv,9,-23.719158643452467,-23.719158643452467,94.17492894491683,180
study1,MBMC,sub-033.csv,9,-10.448367776073521,-10.448367776073521,67.63334721015895,180
study1,MBMC,sub-041.csv,9,-21.094414335180055,-21.094414335180055,88.925440328372,180
study1,MBMC,sub-001.csv,9,-13.844858096896992,-13.844858096896992,74.42632785180588,180
study1,MBMC,sub-061.csv,9,-36.08404838618236,-36.08404838618236,118.90470843037662,180
study1,MBMC,sub-071.csv,9,-26.776282811284545,-26.776282811284545,100.28917728058099,180
study1,MBMC,sub-006.csv,9,-14.003510812951722,-14.003510812951722,74.74363328391534,180
study1,MBMC,sub-049.csv,9,-16.81593857949293,-16.81593857949293,80.36848881699775,180
study1,MBMC,sub-024.csv,9,-36.79741807171168,-36.79741807171168,120.33144780143526,180
study1,MBMC,sub-072.csv,9,-29.4469975962471,-29.4469975962471,105.6306068505061,180
study1,MBMC,sub-063.csv,9,-32.381489342116495,-32.381489342116495,111.49959034224489,180
study1,MBMC,sub-081.csv,9,-48.77693048885291,-48.77693048885291,144.29047263571772,180
study1,MBMC,sub-080.csv,9,-0.4785883666784918,-0.4785883666784918,47.69378839136888,180
study1,MBMC,sub-013.csv,9,-2.3631107639093174,-2.3631107639093174,51.46283318583053,180
study1,MBMC,sub-065.csv,9,-5.640028804627143,-5.640028804627143,58.01666926726618,180
study1,MBMC,sub-093.csv,9,-48.08976074152993,-48.08976074152993,142.91613314107175,180
study1,MBMC,sub-002.csv,9,-0.44547141680368685,-0.44547141680368685,47.62755449161927,180
study1,SR,sub-005.csv,2,-27.42545482981679,-27.42545482981679,65.236823361414,180
study1,SR,sub-009.csv,2,-82.29995138577024,-82.29995138577024,174.9858164733209,180
